# BioCyc term TAB ONDEX term
PlantCyc	PLANTCYC
MetaCyc	MC
AraCyc	AC
LycoCyc	LYCOCYC
SoyCyc	SOYCYC
PubMed	PubMed
UniProt	UNIPROTKB
UniProtKB	UNIPROTKB
PIR	PIR
Ligand-Rxn	KEGG
LIGAND	KEGG
CAS	CAS
PubChem	PUBCHEM
ChEBI	CHEBI
Chebi	CHEBI
NCI	NCI
KNApSAcK	KNApSAcK
Knapksack	KNApSAcK
UMBBD-Compounds	UMBBD
UMBBD	UMBBD
Wikipedia	WIKI
Entrez	NC_GE
Entrez Protein (GI)	NC_GI
RefSeq	NC_NP
Entrez-Nucleotide	NC_NM
Pfam	PFAM
PDB	PDB
Phytozome Plant Orthologs	PHYTOZOME
TAIR	TAIR
Gramene_Genedb	GR
EcoCyc	ECOCYC
ModBase	MODBASE
Modbase	MODBASE
Swiss-Model	SMOD
unknown	unknown
Annotation_Source	UC
CJEJ192222cyc	NCTC11168
LIGAND-compound	KEGG
CJEJ195099cyc	RM1221
KEGG	KEGG
Kegg	KEGG
LIGAND-reaction	KEGG
NCBI Entrez Protein (GI)	NC_GI
Annotation Source	UNIPROTKB
LIGAND - generic	KEGG
BRENDA	BRENDA
